,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,train_size,rsq_train,rsq_val,rsq_test,nrmse_train,nrmse_val,nrmse_test,nrmse,decomp.rssd,mape,lambda,lambda_hp,lambda_max,lambda_min_ratio,solID,trial,iterNG,iterPar,iterations,robynPareto,total_spend,mean_spend,mean_spend_adstocked,mean_carryover,mean_response,spend_share,effect_share,roi_mean,roi_total,cpa_total,cluster,top_sol,boot_mean,boot_se,ci_low,ci_up,carryover_pct
11,search_S,2412.158218,58596.85305,0.000202789,373.2283634,0.000110649,58596.85305,0.000202789,373.2283634,0.000110649,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,809960,5158.980892,6088.655965,929.6750736,352.9951622,0.064401227,0.00271074,0.068423429,0.072345366,13.82258531,2,FALSE,0.314615167,0.042785886,0,0.822902619,0.06166045
12,newsletter,280750.6947,3439443.42,0.011903061,21907.28293,0.00649472,3439443.42,0.011903061,21907.28293,0.00649472,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.034997183
13,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
14,trend,0.23039162,64465175.17,0.223098861,410606.2113,0.121307901,64465175.17,0.223098861,410606.2113,0.121307901,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
15,season,0.242103888,88631.71846,0.000306734,564.5332386,0.000166784,88631.71846,0.000306734,564.5332386,0.000166784,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
16,holiday,1,6959499.542,0.024085197,278379.9817,0.082243498,6959499.542,0.024085197,278379.9817,0.082243498,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
17,competitor_sales_B,0.217951991,189887823.6,0.657157248,1209476.583,0.357323053,189887823.6,0.657157248,1209476.583,0.357323053,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
18,events,1.036061425,1318706.526,0.004563734,1318706.526,0.389593522,1318706.526,0.004563734,1318706.526,0.389593522,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
19,tv_S,335077.357,9984469.044,0.034553907,63595.34423,0.018788361,9984469.044,0.034553907,63595.34423,0.018788361,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,2591412.147,16505.80985,24007.20587,7501.396015,69873.13136,0.206047363,0.433240903,4.233244657,3.852906631,0.259544312,2,FALSE,4.254456847,0.086203945,3.236593087,5.281895619,0.269660937
20,ooh_S,235087.2764,8870347.85,0.030698195,56499.03089,0.016691854,8870347.85,0.030698195,56499.03089,0.016691854,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,8239693.867,52482.12654,83179.37337,30697.24683,67414.95859,0.655151359,0.384897534,1.284531764,1.076538521,0.928903128,2,FALSE,0.963804794,0.046400009,0.413138522,1.514040066,0.673070486
21,print_S,217149.7208,4132538.761,0.014301748,26321.90294,0.007776441,4132538.761,0.014301748,26321.90294,0.007776441,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,601634.9778,3832.069922,4324.926503,492.8565806,11232.66603,0.047836968,0.179316979,2.931226794,6.868847248,0.145584836,2,FALSE,6.866818895,0.089765414,5.801716336,7.931519415,0.011808228
22,facebook_S,0,0,0,0,0,0,0,0,0,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,334078.022,2127.88549,2920.944384,793.0588939,0,0.026563083,0,0,0,Inf,2,FALSE,2.266333255,0.198023223,0,4.623588652,0
23,search_S,2346.945485,58642.50756,0.000202948,373.5191564,0.000110351,58642.50756,0.000202948,373.5191564,0.000110351,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,809960,5158.980892,5890.020815,731.039923,318.9166724,0.064401227,0.002544585,0.061817766,0.072401733,13.81182411,2,FALSE,0.314615167,0.042785886,0,0.822902619,0.022815439
24,newsletter,261742.3836,3187569.219,0.01103143,20302.98866,0.005998236,3187569.219,0.01103143,20302.98866,0.005998236,TRUE,1,0.952176495,NA,NA,0.04881529,NA,NA,0.04881529,0.45926129,0,15979.68604,0.00014405,65481090.25,1.00E-04,1_143_2,1,143,2,1280,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.053282654
25,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
26,trend,0.239082676,66896993.03,0.23152366,426095.497,0.12612417,66896993.03,0.23152366,426095.497,0.12612417,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
27,season,0.253230039,92704.88691,0.000320842,590.4769867,0.000174781,92704.88691,0.000320842,590.4769867,0.000174781,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
28,holiday,1,6959499.542,0.024086117,278379.9817,0.082400411,6959499.542,0.024086117,278379.9817,0.082400411,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
29,competitor_sales_B,0.213479789,185991475.7,0.643697499,1184659.081,0.350658818,185991475.7,0.643697499,1184659.081,0.350658818,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
30,events,1.031020459,1312290.347,0.004541703,1312290.347,0.388437644,1312290.347,0.004541703,1312290.347,0.388437644,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
31,tv_S,328630.0211,9606694.839,0.03324779,61189.1391,0.018111971,9606694.839,0.03324779,61189.1391,0.018111971,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,2591412.147,16505.80985,23884.77196,7378.962104,63796.05608,0.206047363,0.390029335,3.865066704,3.707127348,0.269750647,2,FALSE,4.254456847,0.086203945,3.236593087,5.281895619,0.249985469
32,ooh_S,241602.566,9905070.3,0.034280437,63089.61975,0.018674513,9905070.3,0.034280437,63089.61975,0.018674513,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,8239693.867,52482.12654,86409.46414,33927.3376,74318.84124,0.655151359,0.402143301,1.416079076,1.2021163,0.831866268,2,FALSE,0.963804794,0.046400009,0.413138522,1.514040066,0.706023302
33,print_S,187036.8167,4591391.491,0.015890337,29244.53179,0.008656375,4591391.491,0.015890337,29244.53179,0.008656375,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,601634.9778,3832.069922,4483.086812,651.0168894,22189.88384,0.047836968,0.186409311,5.79057384,7.631523532,0.131035434,2,FALSE,6.866818895,0.089765414,5.801716336,7.931519415,0.046220434
34,facebook_S,10888.13975,344498.2517,0.001192273,2194.25638,0.000649499,344498.2517,0.001192273,2194.25638,0.000649499,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,334078.022,2127.88549,2612.821448,484.9359573,2324.384714,0.026563083,0.01398654,1.09234483,1.031191006,0.969752445,2,FALSE,2.266333255,0.198023223,0,4.623588652,0.130785721
35,search_S,12739.37384,183043.3472,0.000633494,1165.881192,0.000345101,183043.3472,0.000633494,1165.881192,0.000345101,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,809960,5158.980892,6441.205722,1282.22483,782.577812,0.064401227,0.007431513,0.151692326,0.225990601,4.424962789,2,FALSE,0.314615167,0.042785886,0,0.822902619,0.032565777
36,newsletter,243708.0009,3058700.016,0.010585848,19482.16571,0.005766717,3058700.016,0.010585848,19482.16571,0.005766717,TRUE,1,0.951682665,NA,NA,0.049066679,NA,NA,0.049066679,0.34708566,0,21740.89745,0.000232041,65481090.25,1.00E-04,1_173_4,1,173,4,1552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.027233998
37,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
38,trend,0.230812526,64582947.84,0.223509212,411356.3557,0.121447709,64582947.84,0.223509212,411356.3557,0.121447709,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
39,season,0.246134215,90107.17933,0.000311844,573.9310785,0.000169446,90107.17933,0.000311844,573.9310785,0.000169446,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
40,holiday,1,6959499.542,0.024085495,278379.9817,0.082188133,6959499.542,0.024085495,278379.9817,0.082188133,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
41,competitor_sales_B,0.214560191,186932761.8,0.646938483,1190654.534,0.35152554,186932761.8,0.646938483,1190654.534,0.35152554,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
42,events,1.037882354,1321024.217,0.004571812,1321024.217,0.390015524,1321024.217,0.004571812,1321024.217,0.390015524,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
43,tv_S,366367.3726,10867356.44,0.037609839,69218.83081,0.020435976,10867356.44,0.037609839,69218.83081,0.020435976,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,2591412.147,16505.80985,23446.4801,6940.670247,82797.43815,0.206047363,0.423791125,5.016260268,4.193604036,0.238458374,2,FALSE,4.254456847,0.086203945,3.236593087,5.281895619,0.290566556
44,ooh_S,218511.1449,9337477.907,0.032315223,59474.38158,0.017559051,9337477.907,0.032315223,59474.38158,0.017559051,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,8239693.867,52482.12654,85350.83058,32868.70405,70683.86001,0.655151359,0.364130899,1.346817758,1.133231168,0.882432489,2,FALSE,0.963804794,0.046400009,0.413138522,1.514040066,0.690445986
45,print_S,193224.1667,4562486.333,0.015789891,29060.42251,0.008579718,4562486.333,0.015789891,29060.42251,0.008579718,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,601634.9778,3832.069922,4377.931525,545.8616031,21687.41708,0.047836968,0.177921947,5.659452337,7.583479189,0.131865596,2,FALSE,6.866818895,0.089765414,5.801716336,7.931519415,0.035321392
46,facebook_S,16425.07415,554152.4868,0.001917816,3529.633674,0.001042079,554152.4868,0.001917816,3529.633674,0.001042079,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,334078.022,2127.88549,2245.151182,117.2656915,4389.563936,0.026563083,0.021610123,2.062876013,1.6587517,0.602862984,2,FALSE,2.266333255,0.198023223,0,4.623588652,0.039555267
47,search_S,18966.53332,321717.0609,0.001113401,2049.153254,0.000604986,321717.0609,0.001113401,2049.153254,0.000604986,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,809960,5158.980892,6265.611396,1106.630504,1515.12473,0.064401227,0.012545906,0.293686827,0.397201172,2.517615938,2,FALSE,0.314615167,0.042785886,0,0.822902619,0.032536883
48,newsletter,319369.2654,3420294.775,0.011836985,21785.31704,0.006431837,3420294.775,0.011836985,21785.31704,0.006431837,TRUE,1,0.951951838,NA,NA,0.048929814,NA,NA,0.048929814,0.389539295,0,18976.34952,0.000189818,65481090.25,1.00E-04,1_185_4,1,185,4,1660,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.07053629
49,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
50,trend,0.222291746,62198774.2,0.215263687,396170.5363,0.117010837,62198774.2,0.215263687,396170.5363,0.117010837,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
51,season,0.239420776,87649.45891,0.000303346,558.2768083,0.00016489,87649.45891,0.000303346,558.2768083,0.00016489,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
52,holiday,1,6959499.542,0.024086126,278379.9817,0.082220841,6959499.542,0.024086126,278379.9817,0.082220841,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
53,competitor_sales_B,0.216458651,188586770.7,0.652679802,1201189.622,0.354777023,188586770.7,0.652679802,1201189.622,0.354777023,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
54,events,1.036855107,1319716.729,0.004567407,1319716.729,0.389784564,1319716.729,0.004567407,1319716.729,0.389784564,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
55,tv_S,394878.8013,11409997.4,0.039488851,72675.14264,0.021464946,11409997.4,0.039488851,72675.14264,0.021464946,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,2591412.147,16505.80985,23545.58054,7039.770686,88910.51765,0.206047363,0.430842503,5.386619527,4.403003748,0.227117681,2,FALSE,4.254456847,0.086203945,3.236593087,5.281895619,0.314825108
56,ooh_S,232297.8768,9529317.257,0.032980006,60696.28826,0.017926935,9529317.257,0.032980006,60696.28826,0.017926935,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,8239693.867,52482.12654,85449.30826,32967.18172,71604.37842,0.655151359,0.359827856,1.364357413,1.156513508,0.864667808,2,FALSE,0.963804794,0.046400009,0.413138522,1.514040066,0.704585806
57,print_S,225458.8903,4730015.139,0.016370106,30127.48496,0.008898295,4730015.139,0.016370106,30127.48496,0.008898295,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,601634.9778,3832.069922,4621.531176,789.4612542,23168.22379,0.047836968,0.178605787,6.0458771,7.861935083,0.127195148,2,FALSE,6.866818895,0.089765414,5.801716336,7.931519415,0.068865607
58,facebook_S,19883.12505,695020.7593,0.002405397,4426.883817,0.001307501,695020.7593,0.002405397,4426.883817,0.001307501,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,334078.022,2127.88549,2875.372701,747.487211,5262.689143,0.026563083,0.026244045,2.473201292,2.080414495,0.480673444,2,FALSE,2.266333255,0.198023223,0,4.623588652,0.287943877
59,search_S,6858.355053,118638.7742,0.000410597,755.6609823,0.000223188,118638.7742,0.000410597,755.6609823,0.000223188,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,809960,5158.980892,5975.667091,816.6861994,580.7421247,0.064401227,0.004479811,0.112569156,0.146474856,6.827110321,2,FALSE,0.314615167,0.042785886,0,0.822902619,0.022731146
60,newsletter,214175.9793,3306850.285,0.011444675,21062.74067,0.00622098,3306850.285,0.011444675,21062.74067,0.00622098,TRUE,1,0.95188836,NA,NA,0.048962125,NA,NA,0.048962125,0.398045209,0,17357.87615,0.000165099,65481090.25,1.00E-04,1_185_7,1,185,7,1663,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.029426349
61,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.95223354,NA,NA,0.048786168,NA,NA,0.048786168,0.546127098,0,10601.49347,6.19E-05,65481090.25,1.00E-04,1_192_3,1,192,3,1722,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
62,trend,0.198185317,55453628.01,0.191917795,353207.8217,0.103903737,55453628.01,0.191917795,353207.8217,0.103903737,TRUE,1,0.95223354,NA,NA,0.048786168,NA,NA,0.048786168,0.546127098,0,10601.49347,6.19E-05,65481090.25,1.00E-04,1_192_3,1,192,3,1722,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
63,season,0.219153623,80229.86494,0.000277665,511.018248,0.000150327,80229.86494,0.000277665,511.018248,0.000150327,TRUE,1,0.95223354,NA,NA,0.048786168,NA,NA,0.048786168,0.546127098,0,10601.49347,6.19E-05,65481090.25,1.00E-04,1_192_3,1,192,3,1722,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
